Claim_Path,Claim_Time,Claim_Trace,Label_Time,Label_Trace,Label
局部_小米MAX3/20230509_1841,224.828,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",204.877,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230509_1848,203.218,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",203.218,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230509_1852,241.406,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",200.923,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230513_1855,185.17,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",191.841,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230513_1858,192.626,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",192.626,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230513_1902,195.234,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",195.234,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230513_1906,191.844,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",191.844,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230513_1909,189.199,"[""c5"", ""e3"", ""d4"", ""d3"", ""c4"", ""f2"", ""e4""]",189.199,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230513_1912,190.133,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",190.133,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230513_1915,193.618,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",193.618,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230513_1922,222.295,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",191.524,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230529_2023,182.756,"[""d6"", ""e3"", ""d4"", ""d3"", ""a6"", ""d4"", ""e4""]",205.716,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230529_2026,205.999,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",205.999,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230529_2029,201.968,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",201.968,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230529_2033,202.395,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",202.395,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230614_2040,207.598,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",207.598,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230614_2044,200.905,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",200.905,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230614_2047,81.392,"[""e4"", ""d5"", ""d4"", ""a2"", ""c4"", ""e3"", ""e4""]",206.113,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230614_2051,205.535,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",205.535,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230616_2132,207.866,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",207.866,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230616_2136,206.139,"[""e4"", ""f3"", ""d4"", ""b3"", ""c4"", ""d4"", ""e4""]",206.139,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230616_2139,199.635,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",199.635,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230616_2142,203.652,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",203.652,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230704_1948,196.603,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",196.603,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230704_1955,197.882,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""a4"", ""e4""]",197.882,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230704_1959,197.363,"[""e4"", ""e3"", ""d4"", ""d3"", ""c2"", ""d4"", ""e4""]",197.363,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230705_1300,198.185,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",198.185,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230705_1303,211.051,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",198.226,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230705_1306,196.604,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",196.604,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230705_1310,198.101,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",198.101,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230706_2039,208.575,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",208.575,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230706_2043,257.379,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",207.498,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",0
局部_小米MAX3/20230706_2046,205.784,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",205.784,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230706_2050,203.507,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",203.507,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230707_1524,193.019,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",193.019,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230707_1528,195.793,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",195.793,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
局部_小米MAX3/20230707_1531,197.176,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",197.176,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",1
交叉_小米MAX3_移动卡/20230628_1436,297.024,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",297.024,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230628_1443,324.644,"[""e4"", ""e3"", ""e4"", ""a6"", ""d3"", ""e2"", ""d5"", ""d4""]",300.065,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",0
交叉_小米MAX3_移动卡/20230703_1734,259.999,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",259.999,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230703_1739,213.008,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",258.956,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",0
交叉_小米MAX3_移动卡/20230703_1744,253.556,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",253.556,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230703_1750,222.434,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",255.199,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",0
交叉_小米MAX3_移动卡/20230704_2002,259.456,"[""e6"", ""d1"", ""f5"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",276.89,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",0
交叉_小米MAX3_移动卡/20230704_2008,278.925,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",278.925,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230704_2013,280.62,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",280.62,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230704_2019,275.009,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",275.009,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230705_1314,312.604,"[""e4"", ""e3"", ""d2"", ""e3"", ""d5"", ""d4"", ""e4"", ""d4""]",253.25,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",0
交叉_小米MAX3_移动卡/20230705_1319,254.605,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",254.605,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230705_1324,258.136,"[""e4"", ""e3"", ""e3"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",258.136,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",0
交叉_小米MAX3_移动卡/20230705_1329,265.917,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",265.917,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230706_2053,251.82,"[""e4"", ""f6"", ""e4"", ""e3"", ""d3"", ""f2"", ""e4"", ""d4""]",276.245,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",0
交叉_小米MAX3_移动卡/20230706_2059,276.293,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",276.293,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230706_2104,265.887,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",265.887,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230706_2109,273.326,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",273.326,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230707_1534,264.741,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",264.741,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230707_1540,261.451,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",261.451,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230707_1545,224.076,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",262.531,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",0
交叉_小米MAX3_移动卡/20230707_1550,255.967,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",255.967,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230709_1258,274.319,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",274.319,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230709_1303,310.741,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",288.92,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",0
交叉_小米MAX3_移动卡/20230709_1309,275.622,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",275.622,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230709_1315,279.288,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",279.288,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230920_1925,312.816,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",312.816,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230920_1931,313.561,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",313.561,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230920_1937,289.967,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",309.605,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",0
交叉_小米MAX3_移动卡/20230920_1943,313.443,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",313.443,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230920_1950,314.36,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",314.36,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230920_1956,309.332,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",309.332,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230920_2002,309.684,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",309.684,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
交叉_小米MAX3_移动卡/20230920_2008,310.022,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",310.022,"[""e4"", ""e3"", ""e4"", ""e3"", ""d3"", ""d4"", ""e4"", ""d4""]",1
