Claim_Row_Index,File_Name,Mid_Time,Anchor_Info,Source_Anchor_Info,Signal_Source,Signal_Position,Claim_Location,Label_Location,Label_Source,Label_Position,Attack_Type,Global_Anchor_ID,Anchor_Region,Claim_Region,Topology_Match,S_topo,S_lte,S_meg,S_signal,S_location
0,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230509_1841,"(2540,2940)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
1,20230704_1948_merged.csv,00:01:58,"(5711,6070)","(5711,6070)",局部_三星S7/20230704_1948,"(5711,6070)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230509_1841,"(5915,6315)",replay_location,8,e3,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
2,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230509_1848,"(2715,3115)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
3,20230703_1721_merged.csv,00:01:50,"(5279,5679)","(5279,5679)",局部_三星S7/20230703_1721,"(5279,5679)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230509_1848,"(5153,5553)",replay_location,11,d4,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
4,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230509_1848,"(8591,8991)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
5,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230509_1852,"(2552,2952)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
6,20230704_1948_merged.csv,00:01:58,"(5711,6070)","(5711,6070)",局部_三星S7/20230704_1948,"(5711,6070)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230509_1852,"(5725,6125)",replay_location,8,e3,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
7,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230509_1852,"(8446,8846)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
8,20230703_1721_merged.csv,00:03:05,"(9035,9435)","(9035,9435)",局部_三星S7/20230703_1721,"(9035,9435)","[""d4""]","[""d4""]",局部_小米MAX3/20230509_1852,"(9478,9878)",replay_location,5,d4,d4,True,1,0.736856,0.799371,0.839802,0.807084
9,20230704_1948_merged.csv,00:00:54,"(2502,2902)","(2502,2902)",局部_三星S7/20230704_1948,"(2502,2902)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230513_1855,"(2460,2860)",replay_location,0,d4,"d3,d4",True,1,0.830405,0.807966,0.85247,0.834706
10,20230627_1707_merged.csv,00:01:55,"(5532,5932)","(5532,5932)",局部_三星S7/20230627_1707,"(5532,5932)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230513_1855,"(5454,5854)",replay_location,18,b4,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
11,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230513_1855,"(7989,8389)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
12,20230703_1721_merged.csv,00:03:05,"(9035,9435)","(9035,9435)",局部_三星S7/20230703_1721,"(9035,9435)","[""d4""]","[""d4""]",局部_小米MAX3/20230513_1855,"(9154,9554)",replay_location,5,d4,d4,True,1,0.736856,0.799371,0.839802,0.807084
13,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230513_1858,"(2533,2933)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
14,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230513_1858,"(8168,8568)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
15,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230513_1902,"(2525,2925)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
16,20230704_1948_merged.csv,00:01:58,"(5711,6070)","(5711,6070)",局部_三星S7/20230704_1948,"(5711,6070)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230513_1902,"(5658,6058)",replay_location,8,e3,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
17,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230513_1902,"(8246,8646)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
18,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230513_1906,"(2575,2975)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
19,20230704_1948_merged.csv,00:01:58,"(5711,6070)","(5711,6070)",局部_三星S7/20230704_1948,"(5711,6070)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230513_1906,"(5762,6162)",replay_location,8,e3,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
20,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230513_1906,"(8136,8536)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
21,20230704_1948_merged.csv,00:00:54,"(2502,2902)","(2502,2902)",局部_三星S7/20230704_1948,"(2502,2902)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230513_1909,"(2472,2872)",replay_location,0,d4,"d3,d4",True,1,0.830405,0.807966,0.85247,0.834706
22,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230513_1909,"(7978,8378)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
23,20230627_1707_merged.csv,00:00:51,"(2360,2760)","(2360,2760)",局部_三星S7/20230627_1707,"(2360,2760)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230513_1912,"(2427,2827)",replay_location,5,d4,"d3,d4",True,1,0.79812,0.769938,0.820416,0.800813
24,20230627_1707_merged.csv,00:01:55,"(5532,5932)","(5532,5932)",局部_三星S7/20230627_1707,"(5532,5932)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230513_1912,"(5532,5932)",replay_location,18,b4,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
25,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230513_1912,"(8003,8403)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
26,20230704_1948_merged.csv,00:00:54,"(2502,2902)","(2502,2902)",局部_三星S7/20230704_1948,"(2502,2902)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230513_1915,"(2454,2854)",replay_location,0,d4,"d3,d4",True,1,0.830405,0.807966,0.85247,0.834706
27,20230703_1721_merged.csv,00:01:50,"(5279,5679)","(5279,5679)",局部_三星S7/20230703_1721,"(5279,5679)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230513_1915,"(5020,5420)",replay_location,11,d4,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
28,20230627_1707_merged.csv,00:00:51,"(2360,2760)","(2360,2760)",局部_三星S7/20230627_1707,"(2360,2760)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230513_1922,"(2415,2815)",replay_location,5,d4,"d3,d4",True,1,0.79812,0.769938,0.820416,0.800813
29,20230627_1707_merged.csv,00:01:14,"(3480,3880)","(3480,3880)",局部_三星S7/20230627_1707,"(3480,3880)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230513_1922,,replay_location,11,d4,"d3,d4",True,1,0.831858,0.70632,0.786163,0.771349
30,20230627_1707_merged.csv,00:01:55,"(5532,5932)","(5532,5932)",局部_三星S7/20230627_1707,"(5532,5932)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230513_1922,"(5463,5863)",replay_location,18,b4,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
31,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230513_1922,"(8073,8473)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
32,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230529_2029,"(2664,3064)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
33,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230529_2029,"(8533,8933)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
34,20230703_1721_merged.csv,00:03:05,"(9035,9435)","(9035,9435)",局部_三星S7/20230703_1721,"(9035,9435)","[""d4""]","[""d4""]",局部_小米MAX3/20230529_2029,"(9724,10100)",replay_location,5,d4,d4,True,1,0.736856,0.799371,0.839802,0.807084
35,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230614_2040,"(2727,3127)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
36,20230704_1948_merged.csv,00:01:58,"(5711,6070)","(5711,6070)",局部_三星S7/20230704_1948,"(5711,6070)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230614_2040,"(6153,6490)",replay_location,8,e3,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
37,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230614_2040,"(7327,7727)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
38,20230703_1721_merged.csv,00:03:05,"(9035,9435)","(9035,9435)",局部_三星S7/20230703_1721,"(9035,9435)","[""d4""]","[""d4""]",局部_小米MAX3/20230614_2040,"(8686,9086)",replay_location,5,d4,d4,True,1,0.736856,0.799371,0.839802,0.807084
39,20230703_1721_merged.csv,00:03:05,"(9035,9435)","(9035,9435)",局部_三星S7/20230703_1721,"(9035,9435)","[""d4""]","[""d4""]",局部_小米MAX3/20230614_2040,"(9964,10364)",replay_location,5,d4,d4,True,1,0.736856,0.799371,0.839802,0.807084
40,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230614_2044,"(2594,2994)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
41,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230614_2044,"(8378,8778)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
42,20230703_1721_merged.csv,00:00:15,"(550,950)","(550,950)",局部_三星S7/20230703_1721,"(550,950)","[""e4""]","[""e4""]",局部_小米MAX3/20230614_2051,"(484,884)",replay_location,22,"c3,d3",e4,False,-1,-1.0,-1.0,-1.0,-1.0
43,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230614_2051,"(2697,3097)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
44,20230704_1948_merged.csv,00:01:58,"(5711,6070)","(5711,6070)",局部_三星S7/20230704_1948,"(5711,6070)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230614_2051,"(5969,6369)",replay_location,8,e3,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
45,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230614_2051,"(8588,8988)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
46,20230703_1721_merged.csv,00:03:05,"(9035,9435)","(9035,9435)",局部_三星S7/20230703_1721,"(9035,9435)","[""d4""]","[""d4""]",局部_小米MAX3/20230614_2051,"(9741,10141)",replay_location,5,d4,d4,True,1,0.736856,0.799371,0.839802,0.807084
47,20230627_1707_merged.csv,00:00:08,"(265,580)","(265,580)",局部_三星S7/20230627_1707,"(265,580)","[""e4""]","[""e4""]",局部_小米MAX3/20230616_2132,"(0,400)",replay_location,7,"e3,e4",e4,True,1,0.912574,0.723945,0.807784,0.80359
48,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230616_2132,"(2799,3199)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
